season,Position,TeamName,Points
1998,1,McLaren,156.0
1998,2,Ferrari,133.0
1998,3,Williams,38.0
1998,4,Jordan,34.0
1998,5,Benetton,33.0
1998,6,Sauber,10.0
1998,7,Arrows,6.0
1998,8,Stewart,5.0
1998,9,Prost,1.0
1998,10,Tyrrell,0.0
1998,11,Minardi,0.0
1999,1,McLaren,124.0
1999,2,Ferrari,118.0
1999,3,Jordan,61.0
1999,4,Stewart,36.0
1999,5,Williams,35.0
1999,6,Benetton,16.0
1999,7,BAR,10.0
1999,8,Prost,9.0
1999,9,Sauber,5.0
1999,10,Arrows,1.0
1999,11,Minardi,1.0
2000,1,Ferrari,170.0
2000,2,McLaren,162.0
2000,3,Williams,36.0
2000,4,Benetton,20.0
2000,5,BAR,20.0
2000,6,Jordan,17.0
2000,7,Arrows,7.0
2000,8,Sauber,6.0
2000,9,Jaguar,4.0
2000,10,Minardi,0.0
2000,11,Prost,0.0
2001,1,Ferrari,179.0
2001,2,McLaren,102.0
2001,3,Williams,80.0
2001,4,Sauber,21.0
2001,5,Jordan,18.0
2001,6,BAR,17.0
2001,7,Benetton,10.0
2001,8,Jaguar,9.0
2001,9,Prost,5.0
2001,10,Arrows,1.0
2001,11,Minardi,0.0
2002,1,Ferrari,221.0
2002,2,Williams,92.0
2002,3,McLaren,65.0
2002,4,Renault,23.0
2002,5,Sauber,11.0
2002,6,Jordan,9.0
2002,7,Jaguar,8.0
2002,8,BAR,7.0
2002,9,Minardi,2.0
2002,10,Toyota,2.0
2002,11,Arrows,2.0
2003,1,Ferrari,158.0
2003,2,Williams,144.0
2003,3,McLaren,142.0
2003,4,Renault,88.0
2003,5,BAR,26.0
2003,6,Sauber,19.0
2003,7,Jaguar,17.0
2003,8,Toyota,16.0
2003,9,Jordan,13.0
2003,10,Minardi,1.0
2004,1,Ferrari,262.0
2004,2,BAR,119.0
2004,3,Renault,105.0
2004,4,Williams,88.0
2004,5,McLaren,69.0
2004,6,Sauber,34.0
2004,7,Jaguar,10.0
2004,8,Toyota,9.0
2004,9,Jordan,5.0
2004,10,Minardi,1.0
2005,1,Renault,191.0
2005,2,McLaren,182.0
2005,3,Ferrari,100.0
2005,4,Toyota,88.0
2005,5,Williams,66.0
2005,6,BAR,38.0
2005,7,Red Bull,34.0
2005,8,Sauber,20.0
2005,9,Jordan,12.0
2005,10,Minardi,7.0
2006,1,Renault,206.0
2006,2,Ferrari,201.0
2006,3,McLaren,110.0
2006,4,Honda,86.0
2006,5,BMW Sauber,36.0
2006,6,Toyota,35.0
2006,7,Red Bull,16.0
2006,8,Williams,11.0
2006,9,Toro Rosso,1.0
2006,10,MF1,0.0
2006,11,Super Aguri,0.0
2007,1,McLaren,218.0
2007,2,Ferrari,204.0
2007,3,BMW Sauber,106.0
2007,4,Renault,51.0
2007,5,Williams,33.0
2007,6,Red Bull,24.0
2007,7,Toyota,13.0
2007,8,Honda,6.0
2007,9,Super Aguri,4.0
2007,10,Toro Rosso,3.0
2007,11,Spyker,1.0
2008,1,Ferrari,172.0
2008,2,McLaren,151.0
2008,3,BMW Sauber,135.0
2008,4,Renault,80.0
2008,5,Toyota,56.0
2008,6,Toro Rosso,39.0
2008,7,Red Bull,29.0
2008,8,Williams,26.0
2008,9,Honda,14.0
2008,10,Super Aguri,0.0
2008,11,Force India,0.0
2009,1,Brawn,172.0
2009,2,Red Bull,153.5
2009,3,McLaren,71.0
2009,4,Ferrari,70.0
2009,5,Toyota,59.5
2009,6,BMW Sauber,36.0
2009,7,Williams,34.5
2009,8,Renault,26.0
2009,9,Force India,13.0
2009,10,Toro Rosso,8.0
2010,1,Red Bull,498.0
2010,2,McLaren,454.0
2010,3,Ferrari,396.0
2010,4,Mercedes,214.0
2010,5,Renault,163.0
2010,6,Williams,69.0
2010,7,Force India,68.0
2010,8,Sauber,44.0
2010,9,Toro Rosso,13.0
2010,10,Lotus,0.0
2010,11,HRT,0.0
2010,12,Virgin,0.0
2011,1,Red Bull,650.0
2011,2,McLaren,497.0
2011,3,Ferrari,375.0
2011,4,Mercedes,165.0
2011,5,Renault,73.0
2011,6,Force India,69.0
2011,7,Sauber,44.0
2011,8,Toro Rosso,41.0
2011,9,Williams,5.0
2011,10,Lotus,0.0
2011,11,Virgin,0.0
2011,12,HRT,0.0
2012,1,Red Bull,460.0
2012,2,Ferrari,400.0
2012,3,McLaren,378.0
2012,4,Lotus F1,303.0
2012,5,Mercedes,142.0
2012,6,Sauber,126.0
2012,7,Force India,109.0
2012,8,Williams,76.0
2012,9,Toro Rosso,26.0
2012,10,Marussia,0.0
2012,11,Caterham,0.0
2012,12,HRT,0.0
2013,1,Red Bull,596.0
2013,2,Mercedes,360.0
2013,3,Ferrari,354.0
2013,4,Lotus F1,315.0
2013,5,McLaren,122.0
2013,6,Force India,77.0
2013,7,Sauber,57.0
2013,8,Toro Rosso,33.0
2013,9,Williams,5.0
2013,10,Marussia,0.0
2013,11,Caterham,0.0
2014,1,Mercedes,701.0
2014,2,Red Bull,405.0
2014,3,Williams,320.0
2014,4,Ferrari,216.0
2014,5,McLaren,181.0
2014,6,Force India,155.0
2014,7,Toro Rosso,30.0
2014,8,Lotus F1,10.0
2014,9,Marussia,2.0
2014,10,Sauber,0.0
2014,11,Caterham,0.0
2015,1,Mercedes,703.0
2015,2,Ferrari,428.0
2015,3,Williams,257.0
2015,4,Red Bull,187.0
2015,5,Force India,136.0
2015,6,Lotus F1,78.0
2015,7,Toro Rosso,67.0
2015,8,Sauber,36.0
2015,9,McLaren,27.0
2015,10,Manor Marussia,0.0
2016,1,Mercedes,765.0
2016,2,Ferrari,398.0
2016,3,Red Bull,281.0
2016,4,Toro Rosso,250.0
2016,5,Force India,173.0
2016,6,Williams,138.0
2016,7,McLaren,76.0
2016,8,Haas F1 Team,29.0
2016,9,Renault,8.0
2016,10,Sauber,2.0
2016,11,Manor Marussia,1.0
2017,1,Mercedes,668.0
2017,2,Ferrari,522.0
2017,3,Red Bull,368.0
2017,4,Force India,187.0
2017,5,Williams,83.0
2017,6,Toro Rosso,59.0
2017,7,Renault,51.0
2017,8,Haas F1 Team,47.0
2017,9,McLaren,30.0
2017,10,Sauber,5.0
2018,1,Mercedes,655.0
2018,2,Ferrari,571.0
2018,3,Red Bull Racing,419.0
2018,4,Renault,122.0
2018,5,Force India,111.0
2018,6,Haas F1 Team,93.0
2018,7,McLaren,62.0
2018,8,Sauber,48.0
2018,9,Toro Rosso,33.0
2018,10,Williams,7.0
2019,1,Mercedes,739.0
2019,2,Ferrari,504.0
2019,3,Red Bull Racing,373.0
2019,4,McLaren,145.0
2019,5,Toro Rosso,129.0
2019,6,Renault,91.0
2019,7,Racing Point,73.0
2019,8,Alfa Romeo Racing,57.0
2019,9,Haas F1 Team,28.0
2019,10,Williams,1.0
2020,1,Mercedes,570.0
2020,2,Red Bull Racing,319.0
2020,3,Racing Point,210.0
2020,4,McLaren,202.0
2020,5,Renault,181.0
2020,6,Ferrari,131.0
2020,7,AlphaTauri,107.0
2020,8,Alfa Romeo Racing,8.0
2020,9,Williams,3.0
2020,10,Haas F1 Team,3.0
2021,1,Mercedes,613.5
2021,2,Red Bull Racing,585.5
2021,3,Ferrari,323.5
2021,4,McLaren,275.0
2021,5,Alpine,155.0
2021,6,AlphaTauri,142.0
2021,7,Aston Martin,77.0
2021,8,Williams,23.0
2021,9,Alfa Romeo Racing,13.0
2021,10,Haas F1 Team,0.0
2022,1,Red Bull Racing,759.0
2022,2,Ferrari,510.0
2022,3,Mercedes,488.0
2022,4,Alpine,165.0
2022,5,McLaren,159.0
2022,6,Aston Martin,55.0
2022,7,Alfa Romeo,46.0
2022,8,AlphaTauri,31.0
2022,9,Haas F1 Team,27.0
2022,10,Williams,8.0
2023,1,Red Bull Racing,860.0
2023,2,Mercedes,409.0
2023,3,Ferrari,406.0
2023,4,McLaren,302.0
2023,5,Aston Martin,280.0
2023,6,Alpine,120.0
2023,7,Williams,28.0
2023,8,AlphaTauri,25.0
2023,9,Alfa Romeo,16.0
2023,10,Haas F1 Team,12.0
2024,1,McLaren,666.0
2024,2,Ferrari,653.0
2024,3,Red Bull Racing,589.0
2024,4,Mercedes,468.0
2024,5,Aston Martin,94.0
2024,6,Alpine,65.0
2024,7,Haas F1 Team,57.0
2024,8,RB,46.0
2024,9,Williams,17.0
2024,10,Kick Sauber,4.0
